particle #,x,y,vx,vy,m,Omega,h,density,pressure,dvx/dt,dvy/dt,du/dt
particle 0,0.01,0.01,-1.89076e-16,-4.59583e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.45767e-14,2.77013e-14,3.43969e-14
particle 1,0.01,0.03,-3.65761e-16,-4.8432e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.75424e-14,1.84962e-15,1.52816e-14
particle 2,0.01,0.05,-5.34419e-16,-4.92507e-16,0.43,0.991062,0.0240029,1074.74,716.491,6.71685e-15,1.9873e-14,2.5751e-16
particle 3,0.01,0.07,-5.81175e-16,2.66134e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.63346e-14,-3.39182e-14,4.4711e-15
particle 4,0.01,0.09,-2.79969e-16,2.60673e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.94707e-14,-1.44215e-14,2.30762e-14
particle 5,0.01,0.11,-3.14768e-16,2.21484e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.42753e-14,-3.97505e-15,2.73428e-14
particle 6,0.01,0.13,-1.45506e-16,-1.7655e-17,0.43,0.991062,0.0240029,1074.74,716.491,2.77739e-14,-1.73284e-14,5.01617e-14
particle 7,0.01,0.15,-4.05801e-16,-1.72164e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.7145e-14,1.26565e-14,1.58347e-14
particle 8,0.01,0.17,-5.39706e-16,2.51615e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.65934e-14,1.53538e-15,-1.7754e-14
particle 9,0.01,0.19,-1.04264e-16,9.44603e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.49809e-14,-7.78512e-15,3.77633e-14
particle 10,0.01,0.21,-2.27253e-16,-1.11047e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.53686e-14,1.53211e-14,3.34265e-14
particle 11,0.01,0.23,-5.59957e-16,-2.69123e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.51294e-14,-1.05523e-14,-2.12909e-14
particle 12,0.01,0.25,-1.89022e-16,1.57123e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.5095e-14,-2.71252e-14,2.39059e-14
particle 13,0.01,0.27,-4.77497e-16,-5.26795e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.66294e-15,4.91274e-15,8.45417e-14
particle 14,0.01,0.29,-3.12656e-16,-3.08587e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.09315e-15,8.77076e-15,-3.0766e-14
particle 15,0.01,0.31,-2.26809e-17,2.80985e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.77983e-14,-1.96649e-14,-2.43925e-14
particle 16,0.01,0.33,-3.23796e-16,-3.27074e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.4308e-14,5.82867e-16,9.76403e-14
particle 17,0.01,0.35,-3.42914e-16,-2.80794e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.75276e-14,2.03171e-14,-2.05409e-14
particle 18,0.01,0.37,-2.27215e-17,2.8074e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.7784e-14,-1.87482e-14,-1.88629e-14
particle 19,0.01,0.39,-3.42598e-16,-1.17715e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.44745e-14,-2.27596e-15,9.92029e-14
particle 20,0.01,0.41,-3.63139e-16,-2.79277e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.04222e-14,2.20934e-14,-1.97654e-14
particle 21,0.01,0.43,-2.34397e-17,2.81532e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.06206e-14,-1.95758e-14,-1.79335e-14
particle 22,0.01,0.45,-3.57886e-16,3.79216e-18,0.43,0.991062,0.0240029,1074.74,716.491,1.44051e-14,3.13638e-15,9.84867e-14
particle 23,0.01,0.47,-3.46114e-16,-2.78677e-15,0.43,0.991062,0.0240029,1074.74,716.491,9.45077e-15,2.13718e-14,-2.99938e-14
particle 24,0.01,0.49,-6.58171e-17,3.24469e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.88563e-14,1.03423e-15,-4.17634e-14
particle 25,0.01,0.51,-1.75931e-16,9.71485e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.5234e-14,-1.7062e-14,6.92103e-14
particle 26,0.01,0.53,-1.59112e-16,-2.81412e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.19618e-14,-1.321e-14,7.70578e-14
particle 27,0.01,0.55,1.35491e-17,-2.23193e-15,0.43,0.991062,0.0240029,1074.74,716.491,6.23113e-15,6.43929e-15,1.05771e-13
particle 28,0.01,0.57,-2.664e-16,-6.42171e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.17129e-14,-1.04083e-14,-1.14581e-13
particle 29,0.01,0.59,-3.74112e-17,6.55018e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.24672e-14,1.44348e-14,-1.19114e-13
particle 30,0.01,0.61,-2.61484e-17,2.50227e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.33578e-14,4.60455e-15,9.94521e-14
particle 31,0.01,0.63,-2.12283e-17,4.814e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.99942e-14,1.72991e-14,6.9459e-14
particle 32,0.01,0.65,3.12958e-17,-5.74692e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.85725e-14,-2.4211e-14,6.71441e-14
particle 33,0.01,0.67,9.2829e-17,-2.41577e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.18991e-14,-1.249e-15,9.66142e-14
particle 34,0.01,0.69,-3.39675e-16,-6.41421e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.26149e-14,-1.4877e-14,-1.19188e-13
particle 35,0.01,0.71,-1.69835e-17,6.56526e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.25359e-14,1.25765e-14,-1.18202e-13
particle 36,0.01,0.73,-2.99507e-17,2.51383e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.42455e-14,4.60541e-15,1.00279e-13
particle 37,0.01,0.75,-2.15466e-17,4.63945e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.98538e-14,1.83293e-14,6.96446e-14
particle 38,0.01,0.77,3.12958e-17,-5.74692e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.85725e-14,-2.4211e-14,6.70465e-14
particle 39,0.01,0.79,9.2829e-17,-2.41577e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.18991e-14,-1.249e-15,9.66653e-14
particle 40,0.01,0.81,-3.39675e-16,-6.41421e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.26149e-14,-1.4877e-14,-1.19185e-13
particle 41,0.01,0.83,-1.69833e-17,6.56526e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.25359e-14,1.25765e-14,-1.18203e-13
particle 42,0.01,0.85,-2.99484e-17,2.51382e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.42454e-14,4.60566e-15,1.00308e-13
particle 43,0.01,0.87,-2.1343e-17,4.61404e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.984e-14,1.74409e-14,7.00543e-14
particle 44,0.01,0.89,1.42072e-18,-6.07771e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.9215e-15,-3.04147e-14,6.79982e-14
particle 45,0.01,0.91,-2.88363e-18,-2.43868e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.64729e-14,1.52656e-15,9.72547e-14
particle 46,0.01,0.93,-3.77913e-16,-6.43633e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.60288e-14,-1.37113e-14,-1.18753e-13
particle 47,0.01,0.95,-1.61745e-16,6.43559e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.74909e-14,6.40186e-15,-1.17246e-13
particle 48,0.01,0.97,-8.98304e-17,2.38788e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.73462e-14,-4.70775e-16,9.61536e-14
particle 49,0.01,0.99,-3.42414e-16,6.2056e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.50979e-14,3.92088e-14,6.51716e-14
particle 50,0.03,0.01,-4.32489e-16,-4.91255e-16,0.43,0.991062,0.0240029,1074.74,716.491,-6.36709e-15,3.64792e-14,2.62128e-14
particle 51,0.03,0.03,-6.79547e-16,-8.5223e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.66249e-15,-2.39818e-14,1.24922e-15
particle 52,0.03,0.05,-5.3109e-16,-5.77777e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.01108e-15,2.76787e-14,-1.77273e-14
particle 53,0.03,0.07,-4.86805e-16,4.95068e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.26763e-15,-2.66761e-14,-1.18669e-14
particle 54,0.03,0.09,-7.22952e-16,2.69358e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.23959e-15,-4.5705e-15,8.10437e-15
particle 55,0.03,0.11,-5.51436e-16,2.03588e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.59203e-16,-2.4778e-15,1.08582e-14
particle 56,0.03,0.13,-7.03894e-16,-4.63883e-17,0.43,0.991062,0.0240029,1074.74,716.491,4.21215e-15,-4.60408e-15,3.36046e-14
particle 57,0.03,0.15,-5.91988e-16,-1.69311e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.64208e-15,6.01173e-15,-2.42963e-15
